date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,4.06,4.07,3.79,3.71,1670240.62,-0.27,-6.65,3.994,4.051,4.082,1245511.54,1216826.64,1847791.22
2015-11-26,4.06,4.16,4.06,4.04,1576435.25,0.0,0.0,4.06,4.085,4.09,1156240.11,1308960.2,1805881.54
2015-11-25,4.03,4.06,4.05,4.0,935340.12,0.02,0.5,4.066,4.115,4.087,1014051.5,1491137.65,1772942.41
2015-11-24,4.04,4.05,4.03,3.95,896330.31,-0.01,-0.25,4.066,4.136,4.084,1066903.0,1716168.54,1790771.85
2015-11-23,4.12,4.12,4.04,4.0,1149211.38,-0.08,-1.94,4.088,4.158,4.085,1207387.76,1914086.23,1812765.87
2015-11-20,4.1,4.15,4.12,4.08,1223883.5,0.03,0.73,4.108,4.174,4.088,1188141.74,2122444.22,1848590.61
2015-11-19,4.06,4.1,4.09,4.03,865492.19,0.04,0.99,4.11,4.178,4.089,1461680.29,2271279.22,1890145.53
2015-11-18,4.13,4.14,4.05,4.02,1199597.62,-0.09,-2.17,4.164,4.179,4.09,1968223.8,2521596.95,1978419.79
2015-11-17,4.15,4.26,4.14,4.12,1598754.12,0.0,0.0,4.206,4.173,4.083,2365434.07,2549134.69,2057017.33
2015-11-16,4.03,4.17,4.14,4.02,1052981.25,0.02,0.48,4.228,4.142,4.081,2620784.7,2475212.49,2054738.87
2015-11-13,4.29,4.3,4.13,4.08,2591576.25,-0.23,-5.28,4.24,4.113,4.076,3056746.7,2478755.8,2095270.67
2015-11-12,4.28,4.55,4.36,4.28,3398209.75,0.1,2.35,4.246,4.095,4.077,3080878.15,2302802.88,2074579.11
2015-11-11,4.24,4.44,4.26,4.23,3185649.0,0.0,0.0,4.194,4.058,4.069,3074970.1,2054747.16,2050550.06
2015-11-10,4.15,4.3,4.25,4.14,2875507.25,0.05,1.19,4.14,4.032,4.066,2732835.3,1865375.16,2133599.03
2015-11-09,4.14,4.35,4.2,4.07,3232791.25,0.04,0.96,4.056,4.012,4.047,2329640.27,1711445.51,2050544.43
2015-11-06,4.09,4.2,4.16,4.06,2712233.5,0.06,1.46,3.986,4.001,4.03,1900764.9,1574737.01,1966025.57
2015-11-05,3.97,4.2,4.1,3.96,3368669.5,0.12,3.02,3.944,3.999,4.007,1524727.6,1509011.85,1880539.02
2015-11-04,3.84,3.99,3.99,3.83,1474975.0,0.16,4.18,3.922,4.0,3.984,1034524.22,1435242.63,1750878.17
2015-11-03,3.86,3.89,3.83,3.81,859532.12,-0.02,-0.52,3.924,3.992,3.962,997915.02,1564899.98,1703754.56
2015-11-02,3.9,3.97,3.85,3.83,1088414.38,-0.09,-2.28,3.968,4.019,3.947,1093250.75,1634265.25,1694148.2
2015-10-30,3.96,3.98,3.95,3.9,832047.0,-0.03,-0.75,4.016,4.039,3.938,1248709.12,1711785.54,1656987.38
2015-10-29,3.99,4.04,3.99,3.96,917652.62,-0.01,-0.25,4.054,4.059,3.923,1493296.1,1846355.34,1645628.46
2015-10-28,4.03,4.13,4.0,3.99,1291929.0,-0.05,-1.24,4.078,4.079,3.911,1835961.03,2046352.95,1627314.61
2015-10-27,4.06,4.07,4.05,3.94,1336210.75,-0.04,-0.98,4.06,4.099,3.897,2131884.93,2401822.9,1610370.81
2015-10-26,4.18,4.18,4.09,4.02,1865706.25,-0.05,-1.21,4.07,4.081,3.889,2175279.75,2389643.35,1595900.93
2015-10-23,4.11,4.18,4.14,4.05,2054981.88,0.02,0.48,4.062,4.058,3.878,2174861.95,2357314.14,1547546.6
2015-10-22,3.94,4.17,4.11,3.91,2630977.25,0.2,5.12,4.064,4.014,3.862,2199414.58,2252066.18,1527103.11
2015-10-21,4.11,4.28,3.91,3.82,2771548.5,-0.2,-4.87,4.08,3.968,3.843,2256744.88,2066513.71,1469866.82
2015-10-20,4.04,4.15,4.1,3.98,1553184.88,0.05,1.24,4.138,3.932,3.834,2671760.88,1842609.14,1395195.03
2015-10-19,4.14,4.15,4.05,3.99,1863617.25,-0.11,-2.64,4.092,3.874,3.801,2604006.95,1754031.14,1376188.6
2015-10-16,4.2,4.22,4.15,4.11,2177745.0,-0.04,-0.95,4.054,3.836,3.786,2539766.32,1602189.22,1346653.95
2015-10-15,4.1,4.2,4.19,4.06,2917628.75,-0.01,-0.24,3.964,3.786,3.784,2304717.79,1444901.57,1288679.69
2015-10-14,3.9,4.26,4.2,3.84,4846628.5,0.33,8.53,3.856,3.742,3.777,1876282.54,1208276.27,1189444.42
2015-10-13,3.86,3.93,3.87,3.82,1214415.25,0.01,0.26,3.726,3.695,3.774,1013457.4,818918.72,1028960.92
2015-10-12,3.7,3.92,3.86,3.69,1542414.12,0.16,4.32,3.656,3.696,3.785,904055.34,802158.51,1043795.39
2015-10-09,3.65,3.76,3.7,3.61,1002502.31,0.06,1.65,3.618,3.697,3.795,664612.11,737779.06,1068536.06
2015-10-08,3.67,3.7,3.65,3.59,775452.5,0.1,2.82,3.608,3.71,3.823,585085.36,802140.05,1309495.87
2015-09-30,3.55,3.59,3.55,3.51,532502.81,0.02,0.57,3.628,3.717,3.847,540270.01,873219.94,1541199.87
2015-09-29,3.59,3.6,3.52,3.5,667404.94,-0.14,-3.83,3.664,3.736,3.868,624380.05,947780.92,1672186.67
2015-09-28,3.67,3.7,3.67,3.59,345198.0,0.03,0.82,3.736,3.727,3.873,700261.69,998346.06,1787056.95
2015-09-25,3.73,3.78,3.65,3.61,604868.56,-0.1,-2.67,3.776,3.736,3.859,810946.0,1091118.69,1899792.6
2015-09-24,3.7,3.78,3.75,3.7,551375.75,0.03,0.81,3.812,3.781,3.838,1019194.74,1132457.8,2042896.91
2015-09-23,3.79,3.83,3.73,3.7,953053.0,-0.15,-3.87,3.806,3.811,3.828,1206169.86,1170612.57,2123047.56
2015-09-22,3.89,3.94,3.88,3.83,1046813.12,0.01,0.26,3.808,3.852,3.838,1271181.79,1239003.11,2199826.06
2015-09-21,3.75,3.89,3.87,3.73,898619.56,0.05,1.31,3.718,3.873,3.863,1296430.44,1285432.26,2241924.96
